account_id,bank_district_id,frequency,date_opened,year,lor,disp_id,client_id,type,birth_number,client_district_id,birth_year,birth_day,birth_month,gender,age,age_group,total_credit,average_credit,frequency_credit,most_recent_credit_date,total_withdrawal,average_withdrawal,frequency_withdrawal,most_recent_withdrawal_date,client_district,client_region,loan_id,loan_status,had_granted_loan_in1997,creditcard_type,had_creditcard_issued_in1997
576,55,POPLATEK MESICNE,930101,1993,3,692,692,OWNER,365111,74,1936,11,1,F,60,60,76097.3,3170.72,24,961231,70419.2,1853.14,38,961231,Ostrava - mesto,north Moravia,0,0,0,0,0
3818,74,POPLATEK MESICNE,930101,1993,3,4601,4601,OWNER,350402,1,1935,2,4,M,61,60,234806.4,9392.26,25,961231,223535.20000000004,3062.13,73,961231,Hl.m. Praha,Prague,0,0,0,0,0
704,55,POPLATEK MESICNE,930101,1993,3,844,844,OWNER,450114,22,1945,14,1,M,51,50,228514.9,9521.45,24,961231,218531.20000000004,3642.19,60,961231,Domazlice,west Bohemia,0,0,0,0,0
2378,16,POPLATEK MESICNE,930101,1993,3,2873,2873,OWNER,755324,16,1975,24,3,F,21,20,664545.3999999999,19545.45,34,961231,633310.2,12924.7,49,961231,Jindrichuv Hradec,south Bohemia,0,0,0,0,0
2632,24,POPLATEK MESICNE,930102,1993,3,3177,3177,OWNER,380812,24,1938,12,8,M,58,50,186658.9,7777.45,24,961231,191071.20000000004,2582.04,74,961231,Karlovy Vary,west Bohemia,0,0,0,0,0
1972,77,POPLATEK MESICNE,930102,1993,3,2397,2397,OWNER,180714,46,1918,14,7,M,78,70,64589.50000000001,2691.23,24,961231,60917.19999999999,1646.41,37,961231,Nachod,east Bohemia,0,0,0,0,0
1539,1,POPLATEK PO OBRATU,930103,1993,3,1866,1866,OWNER,425611,64,1942,11,6,F,54,50,403412.0,14407.57,28,961231,405665.0,7512.31,54,961231,Zlin,south Moravia,0,0,0,0,0
793,47,POPLATEK MESICNE,930103,1993,3,950,950,OWNER,655412,76,1965,12,4,F,31,30,42023.3,1750.97,24,961231,36249.19999999999,575.38,63,961231,Sumperk,north Moravia,0,0,0,0,0
2484,74,POPLATEK MESICNE,930103,1993,3,2999,2999,OWNER,795324,74,1979,24,3,F,17,10,193219.8,8050.82,24,961231,195715.20000000004,2358.01,83,961231,Ostrava - mesto,north Moravia,0,0,0,0,0
1695,76,POPLATEK MESICNE,930103,1993,3,2058,2058,OWNER,710302,76,1971,2,3,M,25,20,432463.5,12012.88,36,961231,403130.1999999999,9162.05,44,961231,Sumperk,north Moravia,0,0,0,0,0
1726,48,POPLATEK MESICNE,930103,1993,3,2093,2093,OWNER,700624,48,1970,24,6,M,26,20,186412.5,7169.71,26,961231,187063.20000000004,2253.77,83,961231,Rychnov nad Kneznou,east Bohemia,0,0,0,0,0
2881,70,POPLATEK MESICNE,930104,1993,3,3483,3483,OWNER,401202,70,1940,2,12,M,56,50,128650.1,4150.0,31,961231,123483.20000000004,3011.79,41,961231,Karvina,north Moravia,0,0,0,0,0
